location,total_cases,total_deaths,total_tests
Sierra Leone,2029.0,71.0,
Singapore,56860.0,27.0,805214.0
Sint Maarten (Dutch part),482.0,19.0,
Slovakia,4042.0,33.0,340123.0
Slovenia,2988.0,128.0,160479.0
Somalia,3310.0,98.0,
South Africa,630595.0,14389.0,3705408.0
South Korea,20644.0,329.0,1923547.0
South Sudan,2532.0,47.0,
Spain,479554.0,29194.0,6416533.0
Sri Lanka,3101.0,12.0,
Sudan,13189.0,823.0,
Suriname,4149.0,72.0,
Swaziland,4668.0,94.0,
Sweden,84532.0,5820.0,
Switzerland,42655.0,1726.0,1023203.0
Syria,2898.0,120.0,
Taiwan,489.0,7.0,87646.0
Tajikistan,8654.0,69.0,
Tanzania,509.0,21.0,
Thailand,3427.0,58.0,419970.0
Timor,27.0,0.0,
Togo,1434.0,30.0,54709.0
Trinidad and Tobago,1920.0,28.0,
Tunisia,4196.0,81.0,140714.0
Turkey,273301.0,6462.0,7247935.0
Turks and Caicos Islands,555.0,4.0,
Uganda,3112.0,32.0,381749.0
Ukraine,125789.0,2656.0,1597707.0
United Arab Emirates,71540.0,387.0,7177430.0
United Kingdom,338676.0,41514.0,13447568.0
United States,6114406.0,185744.0,83898416.0
United States Virgin Islands,1144.0,15.0,
Uruguay,1626.0,44.0,175080.0
Uzbekistan,42540.0,329.0,
Vatican,12.0,0.0,
Venezuela,48883.0,398.0,
Vietnam,1046.0,35.0,261004.0
Western Sahara,766.0,1.0,
World,26059065.0,863535.0,
Yemen,1976.0,571.0,
Zambia,12415.0,292.0,
Zimbabwe,6638.0,206.0,97272.0
